"id","name","email","phone"
"U001","Alice Nguyen","alice.nguyen@example.com","'0912345678"
"U002","Bob Tran","bob.tran@example.com","'0901234567"
"U003","Charlie Le","charlie.le@example.com","'0987654321"
"U004","Daisy Pham","daisy.pham@example.com","'0971234567"
"U005","Ethan Vo","ethan.vo@example.com","'0934567890"
"U006","Fiona Ho","fiona.ho@example.com","'0949876543"
"U007","George Dang","george.dang@example.com","'0923456789"
"U008","Hannah Bui","hannah.bui@example.com","'0956789012"
"U009","Ian Do","ian.do@example.com","'0961237890"
"U010","Jenny Ly","jenny.ly@example.com","'0994561230"
"U011","Do Nhat Minh","nhatminh.do@gmail.com","'0828210709"
